slug,canonical_slug,aliases,name,active,product_count,brand_review_count,brand_reviews_available,order_volume_label,order_volume_numeric,order_volume_tier,years_on_noths,months_on_noths,tenure_label,location,returns_address_full,brand_url,products_url,affiliate_url,reviews_per_1k_orders
rapt,rapt,,Get it Rapt.,True,33,125,True,5.9K+,5900,1K+,10,,10 years,"Somerset, GB",,https://www.notonthehighstreet.com/partners/rapt,https://www.notonthehighstreet.com/partners/rapt/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Frapt,21.19
handmadebyif,handmadebyif,,Handmade By If,True,32,275,True,5.9K+,5900,1K+,12,,12 years,"Hebden Bridge , GB",,https://www.notonthehighstreet.com/partners/handmadebyif,https://www.notonthehighstreet.com/partners/handmadebyif/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fhandmadebyif,46.61
keylimedesign,keylimedesign,,Keylime Design,True,0,0,True,5.9K+,5900,1K+,11,,11 years,,,https://www.notonthehighstreet.com/partners/keylimedesign,https://www.notonthehighstreet.com/partners/keylimedesign/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fkeylimedesign,0.0
lostinmusicprints,lostinmusicprints,,Lost In Music Prints,True,147,51,True,5.9K+,5900,1K+,4,,4 years,"Hoddesdon, GB",,https://www.notonthehighstreet.com/partners/lostinmusicprints,https://www.notonthehighstreet.com/partners/lostinmusicprints/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Flostinmusicprints,8.64
mintmakerstudio,mintmakerstudio,,Mint Maker Studio,True,0,0,True,5.9K+,5900,1K+,12,,12 years,,,https://www.notonthehighstreet.com/partners/mintmakerstudio,https://www.notonthehighstreet.com/partners/mintmakerstudio/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fmintmakerstudio,0.0
russetandgray,russetandgray,,Russet and Gray,True,0,0,True,5.9K+,5900,1K+,12,,12 years,,,https://www.notonthehighstreet.com/partners/russetandgray,https://www.notonthehighstreet.com/partners/russetandgray/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Frussetandgray,0.0
sophiemacbain,sophiemacbain,,Sophie MacBain,True,316,89,True,5.9K+,5900,1K+,4,,4 years,"London, GB",,https://www.notonthehighstreet.com/partners/sophiemacbain,https://www.notonthehighstreet.com/partners/sophiemacbain/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fsophiemacbain,15.08
thebrightbluepig,thebrightbluepig,,The Bright Blue Pig,True,11,320,True,5.9K+,5900,1K+,14,,14 years,"Devon, GB",,https://www.notonthehighstreet.com/partners/thebrightbluepig,https://www.notonthehighstreet.com/partners/thebrightbluepig/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Fthebrightbluepig,54.24
theleatherstore,theleatherstore,,The Leather Store,True,27,324,True,5.9K+,5900,1K+,15,,15 years,"Bristol, GB",,https://www.notonthehighstreet.com/partners/theleatherstore,https://www.notonthehighstreet.com/partners/theleatherstore/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Ftheleatherstore,54.92
inkbandit,inkbandit,,Ink Bandit,True,51,153,True,5.8K+,5800,1K+,11,,11 years,"Somerset, GB",,https://www.notonthehighstreet.com/partners/inkbandit,https://www.notonthehighstreet.com/partners/inkbandit/products,https://www.awin1.com/cread.php?awinmid=18484&awinaffid=1018637&clickref=MostReviewed&ued=https%3A%2F%2Fwww.notonthehighstreet.com%2Fpartners%2Finkbandit,26.38
